,ds,mech,seed,method,metric,value
75,parkinsons,MCAR,1990212658,OT_PMM,MAE,0.3661179116795218
76,parkinsons,MCAR,202244314,PMM,RMSE,0.7101721511642437
77,parkinsons,MCAR,202244314,PMM,MAE,0.41268195416812464
78,parkinsons,MCAR,202244314,OT_PMM,RMSE,0.5848876893780851
79,parkinsons,MCAR,202244314,OT_PMM,MAE,0.3475973596935741
80,parkinsons,MCAR,2095133045,PMM,RMSE,0.6933632805293882
81,parkinsons,MCAR,2095133045,PMM,MAE,0.4079923166005212
82,parkinsons,MCAR,2095133045,OT_PMM,RMSE,0.6496604798335787
83,parkinsons,MCAR,2095133045,OT_PMM,MAE,0.37563828061403604
84,parkinsons,MCAR,275121930,PMM,RMSE,0.7358113639506342
85,parkinsons,MCAR,275121930,PMM,MAE,0.4390045826968717
86,parkinsons,MCAR,275121930,OT_PMM,RMSE,0.7035956849834679
87,parkinsons,MCAR,275121930,OT_PMM,MAE,0.41185289357118543
88,parkinsons,MCAR,392022359,PMM,RMSE,0.6341054776520547
89,parkinsons,MCAR,392022359,PMM,MAE,0.38219805304927384
90,parkinsons,MCAR,392022359,OT_PMM,RMSE,0.6875611464445317
91,parkinsons,MCAR,392022359,OT_PMM,MAE,0.3870445490073684
92,parkinsons,MCAR,432652533,PMM,RMSE,0.6629081500513927
93,parkinsons,MCAR,432652533,PMM,MAE,0.4067886248131482
94,parkinsons,MCAR,432652533,OT_PMM,RMSE,0.6486695222892082
95,parkinsons,MCAR,432652533,OT_PMM,MAE,0.36654017751649115
96,parkinsons,MCAR,796282693,PMM,RMSE,0.650748021019629
97,parkinsons,MCAR,796282693,PMM,MAE,0.3926565948279091
98,parkinsons,MCAR,796282693,OT_PMM,RMSE,0.6056890680406098
99,parkinsons,MCAR,796282693,OT_PMM,MAE,0.3554393195875922
100,parkinsons,MCAR,864178266,PMM,RMSE,0.7140360396266459
101,parkinsons,MCAR,864178266,PMM,MAE,0.4316608300964412
102,parkinsons,MCAR,864178266,OT_PMM,RMSE,0.5699277428503559
103,parkinsons,MCAR,864178266,OT_PMM,MAE,0.3489895063881652
104,parkinsons,MCAR,929893137,PMM,RMSE,0.6909320162154006
105,parkinsons,MCAR,929893137,PMM,MAE,0.4246087127699255
106,parkinsons,MCAR,929893137,OT_PMM,RMSE,0.6521179244439743
107,parkinsons,MCAR,929893137,OT_PMM,MAE,0.39327674369141385
108,parkinsons,MCAR,942484272,PMM,RMSE,0.6411751615882272
109,parkinsons,MCAR,942484272,PMM,MAE,0.3932169512563817
110,parkinsons,MCAR,942484272,OT_PMM,RMSE,0.6528309801662566
111,parkinsons,MCAR,942484272,OT_PMM,MAE,0.37913875990641394
112,parkinsons,MCAR,952224740,PMM,RMSE,0.6748033461110355
113,parkinsons,MCAR,952224740,PMM,MAE,0.4049961385983442
114,parkinsons,MCAR,952224740,OT_PMM,RMSE,0.6463262967648014
115,parkinsons,MCAR,952224740,OT_PMM,MAE,0.3771441306206884
116,parkinsons,MCAR,967196436,PMM,RMSE,0.7108116346769604
117,parkinsons,MCAR,967196436,PMM,MAE,0.43105431345992523
118,parkinsons,MCAR,967196436,OT_PMM,RMSE,0.689430088857734
119,parkinsons,MCAR,967196436,OT_PMM,MAE,0.3959093027445197
120,parkinsons,MAR,1074497555,PMM,RMSE,0.6929186745169926
121,parkinsons,MAR,1074497555,PMM,MAE,0.4182573189637048
122,parkinsons,MAR,1074497555,OT_PMM,RMSE,0.6629767460047647
123,parkinsons,MAR,1074497555,OT_PMM,MAE,0.37218963040618747
124,parkinsons,MAR,1102145672,PMM,RMSE,0.6703369934751512
125,parkinsons,MAR,1102145672,PMM,MAE,0.3616211171548632
126,parkinsons,MAR,1102145672,OT_PMM,RMSE,0.6253492170399043
127,parkinsons,MAR,1102145672,OT_PMM,MAE,0.3462060076591836
128,parkinsons,MAR,1130604997,PMM,RMSE,0.6964898863435777
129,parkinsons,MAR,1130604997,PMM,MAE,0.39974630501444325
